step,vehicle_count,total_waiting,avg_travel_time,strategy
681,134,74,247.88532110091742,baseline
682,134,76,248.5,baseline
683,134,77,249.11467889908258,baseline
684,133,77,249.72477064220183,baseline
685,133,80,250.3348623853211,baseline
686,133,79,250.94495412844037,baseline
687,131,80,251.545871559633,baseline
688,133,82,249.86363636363637,baseline
689,133,82,250.46818181818182,baseline
690,134,83,248.81981981981983,baseline
691,135,83,249.42792792792793,baseline
692,134,83,250.03153153153153,baseline
693,134,83,250.63513513513513,baseline
694,133,84,251.23423423423424,baseline
695,133,84,251.83333333333334,baseline
696,134,85,250.18303571428572,baseline
697,134,89,250.78125,baseline
698,134,88,251.37946428571428,baseline
699,134,84,251.97767857142858,baseline
700,134,83,252.57589285714286,baseline
701,134,83,253.17410714285714,baseline
702,134,82,253.77232142857142,baseline
703,133,83,254.36607142857142,baseline
704,135,86,252.71238938053096,baseline
705,135,87,253.30973451327435,baseline
706,135,87,253.9070796460177,baseline
707,135,89,254.50442477876106,baseline
708,135,88,255.10176991150442,baseline
709,135,88,255.69911504424778,baseline
710,134,88,256.2920353982301,baseline
711,134,87,256.88495575221236,baseline
712,134,89,255.22368421052633,baseline
713,134,90,255.81578947368422,baseline
714,133,90,256.4035087719298,baseline
715,133,89,256.99122807017545,baseline
716,133,89,257.57894736842104,baseline
717,131,90,258.1578947368421,baseline
718,131,89,258.7368421052632,baseline
719,131,90,259.3157894736842,baseline
720,134,89,255.43103448275863,baseline
721,134,89,256.01724137931035,baseline
722,133,89,256.5991379310345,baseline
723,133,92,257.1810344827586,baseline
724,133,91,257.76293103448273,baseline
725,133,91,258.3448275862069,baseline
726,133,89,258.92672413793105,baseline
727,133,89,259.5086206896552,baseline
728,134,88,257.87606837606836,baseline
729,134,89,258.46153846153845,baseline
730,134,91,259.04700854700855,baseline
731,134,93,259.63247863247864,baseline
732,134,93,260.21794871794873,baseline
733,134,94,260.8034188034188,baseline
734,134,92,261.3888888888889,baseline
735,134,90,261.97435897435895,baseline
736,135,90,260.34322033898303,baseline
737,135,90,260.93220338983053,baseline
738,135,93,261.521186440678,baseline
739,135,93,262.1101694915254,baseline
740,135,95,262.6991525423729,baseline
741,135,96,263.2881355932203,baseline
742,135,96,263.8771186440678,baseline
743,135,95,264.46610169491527,baseline
744,136,97,262.83613445378154,baseline
745,136,97,263.42857142857144,baseline
746,137,97,264.02100840336135,baseline
747,137,99,264.61344537815125,baseline
748,137,101,265.20588235294116,baseline
749,137,100,265.79831932773106,baseline
750,138,101,264.1791666666667,baseline
751,138,103,264.775,baseline
752,140,102,263.18595041322317,baseline
753,140,104,263.78512396694214,baseline
754,140,106,264.38429752066116,baseline
755,139,106,264.9793388429752,baseline
756,139,108,265.57438016528926,baseline
757,139,110,266.1652892561983,baseline
758,139,110,266.75619834710744,baseline
759,139,113,267.3471074380165,baseline
760,140,116,265.75,baseline
761,140,114,266.344262295082,baseline
762,140,115,266.9385245901639,baseline
763,139,117,267.52868852459017,baseline
764,139,117,268.1188524590164,baseline
765,139,119,268.7090163934426,baseline
766,139,122,269.29918032786884,baseline
767,139,122,269.8893442622951,baseline
768,140,122,268.2886178861789,baseline
769,140,119,268.8821138211382,baseline
770,140,115,269.4756097560976,baseline
771,140,115,270.0691056910569,baseline
772,139,116,270.6585365853659,baseline
773,139,116,271.2479674796748,baseline
774,139,116,271.8373983739837,baseline
775,139,117,272.4268292682927,baseline
776,140,116,270.8225806451613,baseline
777,139,114,271.41129032258067,baseline
778,139,113,272.0,baseline
779,138,112,272.5846774193548,baseline
780,140,111,270.992,baseline
781,140,110,271.58,baseline
782,140,109,272.168,baseline
783,140,107,272.756,baseline
784,141,106,271.1825396825397,baseline
785,141,105,271.7738095238095,baseline
786,141,103,272.36507936507934,baseline
787,141,103,272.9563492063492,baseline
788,141,103,273.54761904761904,baseline
789,141,102,274.1388888888889,baseline
790,141,102,274.73015873015873,baseline
791,141,102,275.32142857142856,baseline
792,142,101,273.748031496063,baseline
793,142,101,274.34251968503935,baseline
794,142,99,274.93700787401576,baseline
795,142,98,275.5314960629921,baseline
796,142,97,276.12598425196853,baseline
797,142,96,276.7204724409449,baseline
798,142,94,277.31496062992125,baseline
799,142,93,277.90944881889766,baseline
800,143,92,276.3359375,baseline
801,143,90,276.93359375,baseline
802,143,91,277.53125,baseline
803,143,92,278.12890625,baseline
804,143,87,278.7265625,baseline
